Symbol,Date,Volume,Close,Average
aapl,3/9/14,125421000,98.51,98.46619048
aapl,4/9/14,85718000,97.7,98.63095238
aapl,5/9/14,58457000,98.54,98.84333333
aapl,8/9/14,46356700,97.94,99.02761905
aapl,9/9/14,189846300,97.57,99.18190476
aapl,10/9/14,100869600,100.56,99.41904762
aapl,11/9/14,62353100,100.99,99.67761905
aapl,12/9/14,64096900,101.22,99.88714286
aapl,15/09/2014,61316500,101.19,100.0828571
aapl,16/09/2014,66908100,100.42,100.2190476
aapl,17/09/2014,60926500,101.14,100.3338095
aapl,18/09/2014,37299400,101.35,100.3933333
aapl,19/09/2014,70902400,100.52,100.4114286
aapl,22/09/2014,52788400,100.62,100.4338095
aapl,23/09/2014,63402200,102.2,100.4966667
aapl,24/09/2014,60171800,101.31,100.5066667
aapl,25/09/2014,100092000,97.45,100.3638095
aapl,26/09/2014,62370500,100.32,100.2985714
aapl,29/09/2014,49766300,99.68,100.1971429
aapl,30/09/2014,55264100,100.32,100.1142857
aapl,1/10/14,51491300,98.75,99.91904762
aapl,2/10/14,47757800,99.47,99.9647619
aapl,3/10/14,43469600,99.19,100.0357143
aapl,6/10/14,37051200,99.19,100.0666667
aapl,7/10/14,42094200,98.32,100.0847619
aapl,8/10/14,57404700,100.36,100.217619
aapl,9/10/14,77376500,100.58,100.2185714
aapl,10/10/14,66331600,100.3,100.1857143
aapl,13/10/2014,53583400,99.38,100.0980952
aapl,14/10/2014,63688600,98.32,99.96142857
aapl,15/10/2014,100933600,97.12,99.80428571
aapl,16/10/2014,72154500,95.84,99.55190476
aapl,17/10/2014,68179700,97.25,99.35666667
aapl,20/10/2014,77517300,99.33,99.3
aapl,21/10/2014,94623900,102.03,99.36714286
aapl,22/10/2014,68263100,102.55,99.38380952
aapl,23/10/2014,71074700,104.38,99.53
aapl,24/10/2014,47053900,104.77,99.87857143
aapl,27/10/2014,34187700,104.66,100.0852381
aapl,28/10/2014,47939900,106.28,100.3995238
aapl,29/10/2014,52687900,106.88,100.7119048
aapl,30/10/2014,40654800,106.52,101.0819048
aapl,31/10/2014,44639300,107.53,101.4657143
aapl,3/11/14,52282600,108.93,101.9295238
aapl,4/11/14,41574400,108.13,102.3552381
aapl,5/11/14,37435900,108.39,102.8347619
aapl,6/11/14,34968500,108.7,103.2319048
aapl,7/11/14,33691500,109.01,103.6333333
aapl,10/11/14,27195500,108.83,104.0395238
aapl,11/11/14,27442300,109.7,104.5309524
aapl,12/11/14,46942400,111.25,105.1466667
aapl,13/11/2014,59522900,112.82,105.8942857
aapl,14/11/2014,44063600,114.18,106.767619
aapl,17/11/2014,46746700,113.99,107.5647619
aapl,18/11/2014,44224000,115.47,108.3333333
aapl,19/11/2014,41869200,114.67,108.9352381
aapl,20/11/2014,43395500,116.31,109.5904762
aapl,21/11/2014,57179300,116.47,110.1661905
aapl,24/11/2014,47450800,118.63,110.8261905
aapl,25/11/2014,68840400,117.6,111.442381
aapl,26/11/2014,40768300,119,112.0480952
aapl,28/11/2014,24814400,118.93,112.6219048
aapl,1/12/14,83814000,115.07,113.0290476
aapl,2/12/14,59075100,114.63,113.3671429
aapl,3/12/14,43063400,115.93,113.7004762
aapl,4/12/14,42044500,115.49,114.0509524
aapl,5/12/14,38318900,115,114.3657143
aapl,8/12/14,57664900,112.4,114.5419048
aapl,9/12/14,60208000,114.12,114.7852381
aapl,10/12/14,44565300,111.95,114.9338095
aapl,11/12/14,41401700,111.62,115.0252381
aapl,12/12/14,56028100,109.73,114.9528571
aapl,15/12/2014,67218100,108.23,114.7342857
aapl,16/12/2014,60790700,106.75,114.3804762
aapl,17/12/2014,53411800,109.41,114.162381
aapl,18/12/2014,59006200,112.65,114.0280952
aapl,19/12/2014,85708100,111.78,113.8904762


googl,14/01/2010,108223500,28.33,27.88904762
googl,15/01/2010,148516900,27.86,27.9647619
googl,19/01/2010,182501900,29.09,28.09380952
googl,20/01/2010,153038200,28.64,28.22142857
googl,21/01/2010,152038600,28.15,28.30285714
googl,22/01/2010,220441900,26.75,28.29952381
googl,25/01/2010,266424900,27.47,28.31666667
googl,26/01/2010,466777500,27.86,28.34142857
googl,27/01/2010,430642100,28.12,28.33380952
googl,28/01/2010,293375600,26.96,28.25428571
googl,29/01/2010,311488100,25.98,28.14428571
googl,1/2/10,187469100,26.34,28.0352381
googl,2/2/10,174585600,26.5,27.93952381
googl,3/2/10,153832000,26.95,27.84428571
googl,4/2/10,189413000,25.98,27.70047619
googl,5/2/10,212576700,26.44,27.60047619
googl,8/2/10,119567700,26.26,27.49428571
googl,9/2/10,158221700,26.54,27.39238095
googl,10/2/10,92590400,26.4,27.29619048
googl,11/2/10,137586400,26.88,27.23809524
googl,12/2/10,163867200,27.11,27.17190476
googl,16/02/2010,135934400,27.52,27.13333333
googl,17/02/2010,109099200,27.4,27.11142857
googl,18/02/2010,105706300,27.45,27.03333333
googl,19/02/2010,103867400,27.28,26.96857143
googl,22/02/2010,97640900,27.11,26.91904762
googl,23/02/2010,143773700,26.66,26.9147619
googl,24/02/2010,115141600,27.15,26.89952381
googl,25/02/2010,166281500,27.33,26.87428571
googl,26/02/2010,126865200,27.68,26.85333333
googl,1/3/10,137523400,28.27,26.91571429
googl,2/3/10,141636600,28.25,27.02380952
googl,3/3/10,93013200,28.32,27.11809524
googl,4/3/10,91510300,28.51,27.21380952
googl,5/3/10,224905100,29.62,27.34095238
googl,8/3/10,107472400,29.64,27.5152381
googl,9/3/10,230064800,30.17,27.69285714
googl,10/3/10,149054500,30.42,27.89095238
googl,11/3/10,101425100,30.51,28.08
googl,12/3/10,104080900,30.66,28.28285714
googl,15/03/2010,123375700,30.28,28.4447619
googl,16/03/2010,111727000,30.36,28.59952381
googl,17/03/2010,112739200,30.32,28.73285714
googl,18/03/2010,85527400,30.39,28.8752381
googl,19/03/2010,139861400,30.07,29
googl,22/03/2010,114104900,30.4,29.14857143
googl,23/03/2010,150607800,30.89,29.32857143
googl,24/03/2010,149445100,31.03,29.53666667
googl,25/03/2010,135571100,30.66,29.70380952
googl,26/03/2010,160218800,31.24,29.89
googl,29/03/2010,135186100,31.44,30.06904762
googl,30/03/2010,131827500,31.91,30.24238095
googl,31/03/2010,107664900,31.79,30.41095238
googl,1/4/10,150786300,31.92,30.58238095
googl,5/4/10,171126900,32.26,30.76095238
googl,6/4/10,111754300,32.41,30.89380952
googl,7/4/10,157125500,32.55,31.03238095
googl,8/4/10,143247300,32.46,31.14142857
