Date,Open,High,Low,Close,Volume
8-Jul-10,226.55,228.44,224.61,228.05,-
7-Jul-10,218.94,225.42,217.47,224.87,-
6-Jul-10,221.78,223.61,216.60,217.82,-
2-Jul-10,220.59,220.92,217.78,218.06,-
1-Jul-10,222.42,223.98,216.60,219.53,-
30-Jun-10,227.25,228.69,222.14,222.25,-
29-Jun-10,231.49,232.04,225.33,226.90,-
28-Jun-10,236.06,238.54,234.27,235.80,-
25-Jun-10,238.29,238.58,235.04,236.10,-
24-Jun-10,239.59,241.13,236.39,237.31,-
23-Jun-10,243.20,243.20,238.84,240.78,-
22-Jun-10,244.71,248.05,242.62,242.88,-
21-Jun-10,249.70,250.23,242.20,244.04,-
18-Jun-10,251.00,251.48,248.82,249.76,-
17-Jun-10,251.47,252.68,248.10,249.79,-
16-Jun-10,247.84,251.75,247.81,250.38,-
15-Jun-10,241.30,249.95,240.85,248.75,-
14-Jun-10,246.99,247.00,241.35,241.35,-
11-Jun-10,241.01,244.11,240.57,244.01,-
10-Jun-10,239.94,244.01,237.68,243.26,-
9-Jun-10,243.37,244.20,235.76,236.77,-
8-Jun-10,243.68,244.18,238.53,242.15,-
7-Jun-10,249.28,250.20,241.33,242.52,-
4-Jun-10,249.61,254.37,248.10,249.11,-
3-Jun-10,247.31,253.75,247.10,252.55,-
2-Jun-10,243.10,246.69,240.49,246.44,-
1-Jun-10,239.97,245.28,239.82,240.94,-
28-May-10,246.12,246.48,241.26,242.57,-
27-May-10,242.19,245.91,240.28,244.98,-
26-May-10,240.79,244.64,237.26,237.50,-
25-May-10,233.84,238.49,231.77,238.30,-
24-May-10,240.12,244.65,238.16,238.34,-
21-May-10,234.30,242.26,231.97,235.79,-
20-May-10,242.29,242.55,236.66,237.27,-
19-May-10,247.88,249.47,243.63,246.97,-
18-May-10,254.74,255.23,248.29,248.94,-
17-May-10,253.14,253.93,248.93,253.73,-
14-May-10,254.63,255.24,247.88,253.51,-
13-May-10,257.99,260.74,254.93,255.18,-
12-May-10,255.76,255.76,250.75,252.44,-
11-May-10,257.58,259.68,253.86,254.27,-
10-May-10,256.73,261.15,256.04,260.56,-
7-May-10,249.74,252.41,240.42,246.32,-
6-May-10,254.12,258.50,229.77,249.09,-
5-May-10,250.24,257.60,249.98,254.63,-
4-May-10,263.00,263.11,251.85,252.93,-
3-May-10,262.99,266.19,262.28,265.03,-
30-Apr-10,265.30,268.57,262.46,262.58,-
