"","Date","Close","Volume","Symbol","Topic1","Topic2","Topic3"
"26","7/8/2008","25.85"," 65570315","MSFT","Deal","Yahoo","Battle"
"27","7/9/2008","25.23"," 54259971","MSFT","Deal","Yahoo","Battle"
"28","7/10/2008","25.45"," 57837382","MSFT","Deal","Yahoo","Battle"
"29","7/11/2008","25.25"," 69532525","MSFT","Deal","Yahoo","Battle"
"30","7/14/2008","25.15"," 51222873","MSFT","Deal","Yahoo","Battle"
"31","7/15/2008","26.15"," 92720716","MSFT","Deal","Yahoo","Battle"
"32","7/16/2008","27.26"," 82060318","MSFT","Deal","Yahoo","Battle"
"33","7/17/2008","27.52"," 96526068","MSFT","Deal","Yahoo","Battle"
"34","7/18/2008","25.86","150265248","MSFT","Deal","Yahoo","Battle"
"35","7/21/2008","25.64"," 77575545","MSFT","Deal","Yahoo","Battle"
"36","7/22/2008","25.8"," 88657164","MSFT","Deal","Yahoo","Battle"
"37","7/23/2008","26.43"," 79408762","MSFT","Deal","Yahoo","Battle"
"38","7/24/2008","25.44"," 81092522","MSFT","Deal","Yahoo","Battle"
"39","7/25/2008","26.16"," 58680860","MSFT","Deal","Yahoo","Battle"
"40","7/28/2008","25.5"," 59713593","MSFT","Deal","Yahoo","Battle"
"41","7/29/2008","26.11"," 66372594","MSFT","Deal","Yahoo","Battle"
"42","7/30/2008","26.23"," 51980016","MSFT","Deal","Yahoo","Battle"
"43","7/31/2008","25.72"," 60464356","MSFT","Deal","Yahoo","Battle"
"44","8/1/2008","25.44"," 82731424","MSFT","Deal","Yahoo","Battle"
"45","8/4/2008","25.28"," 60592479","MSFT","Deal","Yahoo","Battle"
"46","8/5/2008","26.21"," 84305010","MSFT","Deal","Yahoo","Battle"
"47","8/6/2008","27.02"," 95549923","MSFT","Deal","Yahoo","Battle"
"48","8/7/2008","27.39"," 82565719","MSFT","Deal","Yahoo","Battle"
"49","8/8/2008","28.13"," 80815598","MSFT","Deal","Yahoo","Battle"
"50","8/11/2008","27.9"," 68750329","MSFT","Deal","Yahoo","Battle"
"51","8/12/2008","28.12"," 62813547","MSFT","Deal","Yahoo","Battle"
"52","8/13/2008","27.91"," 51166541","MSFT","Deal","Yahoo","Battle"
"53","8/14/2008","27.91"," 49735006","MSFT","Deal","Yahoo","Battle"
"54","8/15/2008","27.81"," 47267367","MSFT","Deal","Yahoo","Battle"
"55","8/18/2008","27.69"," 38078114","MSFT","Deal","Yahoo","Battle"
"56","8/19/2008","27.32"," 40338849","MSFT","Deal","Yahoo","Battle"
"57","8/20/2008","27.29"," 41497114","MSFT","Deal","Yahoo","Battle"
"58","8/21/2008","27.18"," 43614428","MSFT","Deal","Yahoo","Battle"
"59","8/22/2008","27.84"," 47930392","MSFT","Deal","Yahoo","Battle"
"60","8/25/2008","27.66"," 51381730","MSFT","Deal","Yahoo","Battle"
"61","8/26/2008","27.27"," 44775488","MSFT","Deal","Yahoo","Battle"
"62","8/27/2008","27.56"," 33976947","MSFT","Deal","Yahoo","Battle"
"63","8/28/2008","27.94"," 48380695","MSFT","Deal","Yahoo","Battle"
"64","8/29/2008","27.29"," 50753481","MSFT","Deal","Yahoo","Battle"
"65","9/2/2008","27.1"," 66082260","MSFT","Deal","Yahoo","Battle"
"66","9/3/2008","26.9"," 57128603","MSFT","Deal","Yahoo","Battle"
"67","9/4/2008","26.35"," 66934001","MSFT","Deal","Yahoo","Battle"
"68","9/5/2008","25.65"," 82305188","MSFT","Deal","Yahoo","Battle"
"69","9/8/2008","26.12"," 62113530","MSFT","Deal","Yahoo","Battle"
"70","9/9/2008","26.1"," 85735663","MSFT","Deal","Yahoo","Battle"
"71","9/10/2008","26.44"," 75064901","MSFT","Deal","Yahoo","Battle"
"72","9/11/2008","27.34"," 72914650","MSFT","Deal","Yahoo","Battle"
"73","9/12/2008","27.62"," 75572494","MSFT","Deal","Yahoo","Battle"
"74","9/15/2008","26.82"," 82349376","MSFT","Deal","Yahoo","Battle"
"75","9/16/2008","25.99","111729652","MSFT","Deal","Yahoo","Battle"
"76","9/17/2008","24.57","106972039","MSFT","Deal","Yahoo","Battle"
"77","9/18/2008","25.26","132291242","MSFT","Deal","Yahoo","Battle"
"78","9/19/2008","25.16","134940843","MSFT","Deal","Yahoo","Battle"
"79","9/22/2008","25.4","105207700","MSFT","Deal","Yahoo","Battle"
"80","9/23/2008","25.44"," 92247395","MSFT","Deal","Yahoo","Battle"
"81","9/24/2008","25.72"," 80255580","MSFT","Deal","Yahoo","Battle"
"82","9/25/2008","26.61"," 96203467","MSFT","Deal","Yahoo","Battle"
"83","9/26/2008","27.4","100741810","MSFT","Deal","Yahoo","Battle"
"84","9/29/2008","25.01","134383096","MSFT","Deal","Yahoo","Battle"
"85","9/30/2008","26.69","107210047","MSFT","Deal","Yahoo","Battle"
"86","10/1/2008","26.48"," 88987041","MSFT","Deal","Yahoo","Battle"
"87","10/2/2008","26.25"," 93829287","MSFT","Deal","Yahoo","Battle"
"88","10/3/2008","26.32","116067967","MSFT","Deal","Yahoo","Battle"
"89","10/6/2008","24.91","146408927","MSFT","Deal","Yahoo","Battle"
"90","10/7/2008","23.23","145967811","MSFT","Deal","Yahoo","Battle"
"91","10/8/2008","23.01","171626679","MSFT","Deal","Yahoo","Battle"
"92","10/9/2008","22.3","131967650","MSFT","Deal","Yahoo","Battle"
"93","10/10/2008","21.5","228488900","MSFT","Deal","Yahoo","Battle"
"94","10/13/2008","25.5","144980198","MSFT","Deal","Yahoo","Battle"
"95","10/14/2008","24.1","165683624","MSFT","Deal","Yahoo","Battle"
"96","10/15/2008","22.66","113280181","MSFT","Deal","Yahoo","Battle"
"97","10/16/2008","24.19","161147743","MSFT","Deal","Yahoo","Battle"
"98","10/17/2008","23.93","133675089","MSFT","Deal","Yahoo","Battle"
"99","10/20/2008","24.72"," 93486972","MSFT","Deal","Yahoo","Battle"
"100","10/21/2008","23.36","100385538","MSFT","Deal","Yahoo","Battle"
"101","10/22/2008","21.53","150054726","MSFT","Deal","Yahoo","Battle"
"102","10/23/2008","22.32","154774034","MSFT","Deal","Yahoo","Battle"
"103","10/24/2008","21.96","153913251","MSFT","Deal","Yahoo","Battle"
"104","10/27/2008","21.18","117722353","MSFT","Deal","Yahoo","Battle"
"105","10/28/2008","23.1","134109114","MSFT","Deal","Yahoo","Battle"
"106","10/29/2008","23","111763211","MSFT","Deal","Yahoo","Battle"
"107","10/30/2008","22.63"," 95322969","MSFT","Deal","Yahoo","Battle"
"108","10/31/2008","22.33"," 93063602","MSFT","Deal","Yahoo","Battle"
"109","11/3/2008","22.62"," 61946713","MSFT","Deal","Yahoo","Battle"
"110","11/4/2008","23.53"," 72194471","MSFT","Deal","Yahoo","Battle"
"111","11/5/2008","22.08"," 81216664","MSFT","Deal","Yahoo","Battle"
"112","11/6/2008","20.88"," 95568686","MSFT","Deal","Yahoo","Battle"
"113","11/7/2008","21.5"," 71262782","MSFT","Deal","Yahoo","Battle"
"114","11/10/2008","21.3"," 67602599","MSFT","Deal","Yahoo","Battle"
"115","11/11/2008","21.2"," 78032704","MSFT","Deal","Yahoo","Battle"
"116","11/12/2008","20.3"," 90159844","MSFT","Deal","Yahoo","Battle"
"117","11/13/2008","21.25","148503311","MSFT","Deal","Yahoo","Battle"
"118","11/14/2008","20.06"," 96626994","MSFT","Deal","Yahoo","Battle"
"119","11/17/2008","19.32"," 97297036","MSFT","Deal","Yahoo","Battle"
"120","11/18/2008","19.62","108984798","MSFT","Deal","Yahoo","Battle"
"121","11/19/2008","18.29","103048823","MSFT","Deal","Yahoo","Battle"
"122","11/20/2008","17.53","139532692","MSFT","Deal","Yahoo","Battle"
"123","11/21/2008","19.68","157245554","MSFT","Deal","Yahoo","Battle"
"124","11/24/2008","20.69","125298897","MSFT","Deal","Yahoo","Battle"
"125","11/25/2008","19.99"," 92971983","MSFT","Deal","Yahoo","Battle"
"126","11/26/2008","20.49"," 79682260","MSFT","Deal","Yahoo","Battle"
"127","11/28/2008","20.22"," 31371936","MSFT","Deal","Yahoo","Battle"
"128","12/1/2008","18.61"," 79873774","MSFT","Deal","Yahoo","Battle"
"129","12/2/2008","19.15"," 79692371","MSFT","Deal","Yahoo","Battle"
"130","12/3/2008","19.87"," 80970409","MSFT","Deal","Yahoo","Battle"
"131","12/4/2008","19.11"," 78724702","MSFT","Deal","Yahoo","Battle"
"132","12/5/2008","19.87"," 91998319","MSFT","Deal","Yahoo","Battle"
"133","12/8/2008","21.01","107229949","MSFT","Deal","Yahoo","Battle"
"134","12/9/2008","20.6"," 80499585","MSFT","Deal","Yahoo","Battle"
"135","12/10/2008","20.61"," 61501699","MSFT","Deal","Yahoo","Battle"
"136","12/11/2008","19.45"," 83624211","MSFT","Deal","Yahoo","Battle"
"137","12/12/2008","19.36"," 78130797","MSFT","Deal","Yahoo","Battle"
"138","12/15/2008","19.04"," 59936439","MSFT","Deal","Yahoo","Battle"
"139","12/16/2008","20.11"," 97707493","MSFT","Deal","Yahoo","Battle"
"140","12/17/2008","19.66"," 79062229","MSFT","Deal","Yahoo","Battle"
"141","12/18/2008","19.3"," 80765009","MSFT","Deal","Yahoo","Battle"
"142","12/19/2008","19.12","115432039","MSFT","Deal","Yahoo","Battle"
"143","12/22/2008","19.18"," 58577826","MSFT","Deal","Yahoo","Battle"
"144","12/23/2008","19.28"," 47535826","MSFT","Deal","Yahoo","Battle"
"145","12/24/2008","19.17"," 16894070","MSFT","Deal","Yahoo","Battle"
"146","12/26/2008","19.13"," 23104614","MSFT","Deal","Yahoo","Battle"
"147","12/29/2008","18.96"," 58886322","MSFT","Deal","Yahoo","Battle"
"148","12/30/2008","19.34"," 43228892","MSFT","Deal","Yahoo","Battle"
"149","12/31/2008","19.44"," 46424902","MSFT","Deal","Yahoo","Battle"
"150","1/2/2009","20.33"," 50121849","MSFT","Search","Bing","Patents"
"151","1/5/2009","20.52"," 61476552","MSFT","Search","Bing","Patents"
"152","1/6/2009","20.76"," 58085878","MSFT","Search","Bing","Patents"
"153","1/7/2009","19.51"," 72747158","MSFT","Search","Bing","Patents"
"154","1/8/2009","20.12"," 70255018","MSFT","Search","Bing","Patents"
"155","1/9/2009","19.52"," 49828297","MSFT","Search","Bing","Patents"
"156","1/12/2009","19.47"," 52204130","MSFT","Search","Bing","Patents"
"157","1/13/2009","19.82"," 65847793","MSFT","Search","Bing","Patents"
"158","1/14/2009","19.09"," 80341720","MSFT","Search","Bing","Patents"
"159","1/15/2009","19.24"," 96222222","MSFT","Search","Bing","Patents"
"160","1/16/2009","19.71"," 79640268","MSFT","Search","Bing","Patents"
"161","1/20/2009","18.48"," 89891855","MSFT","Search","Bing","Patents"
"162","1/21/2009","19.38"," 68358085","MSFT","Search","Bing","Patents"
"163","1/22/2009","17.11","222435525","MSFT","Search","Bing","Patents"
"164","1/23/2009","17.2","117020593","MSFT","Search","Bing","Patents"
"165","1/26/2009","17.63"," 93115480","MSFT","Search","Bing","Patents"
"166","1/27/2009","17.66"," 61707540","MSFT","Search","Bing","Patents"
"167","1/28/2009","18.04"," 64702531","MSFT","Search","Bing","Patents"
"168","1/29/2009","17.59"," 49209360","MSFT","Search","Bing","Patents"
"169","1/30/2009","17.1"," 62386468","MSFT","Search","Bing","Patents"
"170","2/2/2009","17.83"," 88882500","MSFT","Search","Bing","Patents"
"171","2/3/2009","18.5"," 86881249","MSFT","Search","Bing","Patents"
"172","2/4/2009","18.63"," 75617853","MSFT","Search","Bing","Patents"
"173","2/5/2009","19.04"," 75197935","MSFT","Search","Bing","Patents"
"174","2/6/2009","19.66"," 86745927","MSFT","Search","Bing","Patents"
"175","2/9/2009","19.44"," 52196149","MSFT","Search","Bing","Patents"
"176","2/10/2009","18.8"," 83958715","MSFT","Search","Bing","Patents"
"177","2/11/2009","19.21"," 58599423","MSFT","Search","Bing","Patents"
"178","2/12/2009","19.26"," 75323479","MSFT","Search","Bing","Patents"
"179","2/13/2009","19.09"," 47419392","MSFT","Search","Bing","Patents"
"180","2/17/2009","18.09"," 75853206","MSFT","Search","Bing","Patents"
"181","2/18/2009","18.12"," 54955158","MSFT","Search","Bing","Patents"
"182","2/19/2009","17.91"," 49197636","MSFT","Search","Bing","Patents"
"183","2/20/2009","18"," 69416120","MSFT","Search","Bing","Patents"
"184","2/23/2009","17.21"," 70803342","MSFT","Search","Bing","Patents"
"185","2/24/2009","17.17","122673954","MSFT","Search","Bing","Patents"
"186","2/25/2009","16.96","105894560","MSFT","Search","Bing","Patents"
"187","2/26/2009","16.42"," 83219416","MSFT","Search","Bing","Patents"
"188","2/27/2009","16.15"," 93434279","MSFT","Search","Bing","Patents"
"189","3/2/2009","15.79"," 80597104","MSFT","Search","Bing","Patents"
"190","3/3/2009","15.88"," 80476554","MSFT","Search","Bing","Patents"
"191","3/4/2009","16.12"," 69290013","MSFT","Search","Bing","Patents"
"192","3/5/2009","15.27"," 89704742","MSFT","Search","Bing","Patents"
"193","3/6/2009","15.28"," 92853699","MSFT","Search","Bing","Patents"
"194","3/9/2009","15.15"," 66514260","MSFT","Search","Bing","Patents"
"195","3/10/2009","16.48"," 95191803","MSFT","Search","Bing","Patents"
"196","3/11/2009","17.11"," 84572522","MSFT","Search","Bing","Patents"
"197","3/12/2009","17.01"," 93719791","MSFT","Search","Bing","Patents"
"198","3/13/2009","16.65"," 82974543","MSFT","Search","Bing","Patents"
"199","3/16/2009","16.25"," 67038412","MSFT","Search","Bing","Patents"
"200","3/17/2009","16.9"," 62669277","MSFT","Search","Bing","Patents"
"201","3/18/2009","16.96"," 70733199","MSFT","Search","Bing","Patents"
"202","3/19/2009","17.14"," 58998888","MSFT","Search","Bing","Patents"
"203","3/20/2009","17.06"," 81742575","MSFT","Search","Bing","Patents"
"204","3/23/2009","18.33"," 71607826","MSFT","Search","Bing","Patents"
"205","3/24/2009","17.93"," 50090354","MSFT","Search","Bing","Patents"
"206","3/25/2009","17.88"," 73932163","MSFT","Search","Bing","Patents"
"207","3/26/2009","18.83"," 63780075","MSFT","Search","Bing","Patents"
"208","3/27/2009","18.13"," 47673696","MSFT","Search","Bing","Patents"
"209","3/30/2009","17.48"," 49640619","MSFT","Search","Bing","Patents"
"210","3/31/2009","18.37"," 92423291","MSFT","Search","Bing","Patents"
"211","4/1/2009","19.31"," 96438844","MSFT","Search","Bing","Patents"
"212","4/2/2009","19.29"," 99082236","MSFT","Search","Bing","Patents"
"213","4/3/2009","18.75"," 81865036","MSFT","Search","Bing","Patents"
"214","4/6/2009","18.76"," 47478684","MSFT","Search","Bing","Patents"
"215","4/7/2009","18.76"," 65815169","MSFT","Search","Bing","Patents"
"216","4/8/2009","19.19"," 56408826","MSFT","Search","Bing","Patents"
"217","4/9/2009","19.67"," 55759562","MSFT","Search","Bing","Patents"
"218","4/13/2009","19.59"," 44450425","MSFT","Search","Bing","Patents"
"219","4/14/2009","19.35"," 63796243","MSFT","Search","Bing","Patents"
"220","4/15/2009","18.83"," 72725459","MSFT","Search","Bing","Patents"
"221","4/16/2009","19.76"," 67691952","MSFT","Search","Bing","Patents"
"222","4/17/2009","19.2"," 61398450","MSFT","Search","Bing","Patents"
"223","4/20/2009","18.61"," 62943434","MSFT","Search","Bing","Patents"
"224","4/21/2009","18.97"," 60928280","MSFT","Search","Bing","Patents"
"225","4/22/2009","18.78"," 59400937","MSFT","Search","Bing","Patents"
"226","4/23/2009","18.92"," 86116273","MSFT","Search","Bing","Patents"
"227","4/24/2009","20.91","168478498","MSFT","Search","Bing","Patents"
"228","4/27/2009","20.4"," 68219574","MSFT","Search","Bing","Patents"
"229","4/28/2009","19.93"," 76688300","MSFT","Search","Bing","Patents"
"230","4/29/2009","20.25"," 79301588","MSFT","Search","Bing","Patents"
"231","4/30/2009","20.26"," 87439809","MSFT","Search","Bing","Patents"
"232","5/1/2009","20.24"," 63224473","MSFT","Search","Bing","Patents"
"233","5/4/2009","20.19"," 54313367","MSFT","Search","Bing","Patents"
"234","5/5/2009","19.79"," 67242977","MSFT","Search","Bing","Patents"
"235","5/6/2009","19.79"," 59639015","MSFT","Search","Bing","Patents"
"236","5/7/2009","19.32"," 68727152","MSFT","Search","Bing","Patents"
"237","5/8/2009","19.42"," 67604246","MSFT","Search","Bing","Patents"
"238","5/11/2009","19.32"," 63769338","MSFT","Search","Bing","Patents"
"239","5/12/2009","19.89"," 71966786","MSFT","Search","Bing","Patents"
"240","5/13/2009","19.75"," 49288225","MSFT","Search","Bing","Patents"
"241","5/14/2009","20.06"," 54544880","MSFT","Search","Bing","Patents"
"242","5/15/2009","20.22"," 61289838","MSFT","Search","Bing","Patents"
"243","5/18/2009","20.6"," 46077725","MSFT","Search","Bing","Patents"
"244","5/19/2009","20.31"," 51368251","MSFT","Search","Bing","Patents"
"245","5/20/2009","20.38"," 47452295","MSFT","Search","Bing","Patents"
"246","5/21/2009","19.82"," 58241500","MSFT","Search","Bing","Patents"
"247","5/22/2009","19.75"," 37325792","MSFT","Search","Bing","Patents"
"248","5/26/2009","20.34"," 44996741","MSFT","Search","Bing","Patents"
"249","5/27/2009","20.13"," 42898438","MSFT","Search","Bing","Patents"
"250","5/28/2009","20.45"," 45484759","MSFT","Search","Bing","Patents"
"251","5/29/2009","20.89"," 46139533","MSFT","Search","Bing","Patents"
"252","6/1/2009","21.4"," 57322905","MSFT","Search","Bing","Patents"
"253","6/2/2009","21.4"," 48941777","MSFT","Search","Bing","Patents"
"254","6/3/2009","21.73"," 56047439","MSFT","Search","Bing","Patents"
